S. No.,Timestamp,GAD1,GAD2,GAD3,GAD4,GAD5,GAD6,GAD7,GADE,SWL1,SWL2,SWL3,SWL4,SWL5,Platform,Hours,earnings,whyplay,League,highestleague,streams,SPIN1,SPIN2,SPIN3,SPIN4,SPIN5,SPIN6,SPIN7,SPIN8,SPIN9,SPIN10,SPIN11,SPIN12,SPIN13,SPIN14,SPIN15,SPIN16,SPIN17,Narcissism,Gender,Age,Work,Playstyle,accept,GAD_T,SWL_T,SPIN_T
1,42052.00437,0,0,0,0,1,0,0,Not difficult at all,3,5,5,5,5,"Console (PS, Xbox, ...)",15,I play for fun,having fun,N/A,NA,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,Male,25,Unemployed / between jobs,Singleplayer,Accept,1,23,5
2,42052.0068,1,2,2,2,0,1,0,Somewhat difficult,3,5,2,5,1,PC,8,I play for fun,having fun,N/A,NA,2,2,1,1,3,2,3,1,3,4,0,3,0,1,3,3,1,2,1,Male,41,Unemployed / between jobs,Multiplayer - online - with strangers,Accept,8,16,33
3,42052.0386,0,2,2,0,0,3,1,Not difficult at all,2,6,5,2,2,PC,0,I play for fun,having fun,n/a,NA,0,1,0,1,2,3,4,2,1,0,1,1,3,0,2,4,4,2,4,Female,32,Employed,Singleplayer,Accept,8,17,31
4,42052.06804,0,0,0,0,0,0,0,Not difficult at all,2,5,5,3,2,PC,20,I play for fun,improving,N/A,NA,5,2,0,0,1,3,0,0,0,0,0,1,3,0,0,1,0,0,2,Male,28,Employed,Multiplayer - online - with online acquaintances or teammates,Accept,0,17,11
5,42052.08948,2,1,2,2,2,3,2,Very difficult,2,2,4,5,1,"Console (PS, Xbox, ...)",20,I play for fun,having fun,n/a,NA,1,2,0,0,0,1,0,0,4,2,0,1,0,0,0,0,3,0,1,Male,19,Employed,Multiplayer - online - with strangers,Accept,14,14,13
6,42052.13119,0,0,0,0,0,1,0,Not difficult at all,3,5,3,3,3,"Console (PS, Xbox, ...)",4,I play for fun,relaxing,-,NA,0,1,1,2,3,2,1,0,0,0,1,0,0,0,1,1,0,0,2,Male,24,Employed,Multiplayer - online - with real life friends,Accept,1,17,13
7,42052.14622,0,0,0,0,0,0,0,Not difficult at all,3,4,4,3,2,PC,30,I play for fun,relaxing,N/A,NA,8,1,2,2,3,1,1,1,2,3,1,3,1,0,1,2,1,1,2,Male,29,Employed,Multiplayer - online - with online acquaintances or teammates,Accept,0,16,26
8,42052.1593,0,0,0,0,0,0,0,NA,3,6,4,3,7,"Console (PS, Xbox, ...)",25,I play for fun,having fun,N/A,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,5,Female,23,Employed,Singleplayer,Accept,0,23,NA
9,42052.19737,2,3,2,2,0,1,2,Very difficult,2,3,3,3,1,"Console (PS, Xbox, ...)",2,I play for fun,winning,N/A,NA,0,1,1,4,4,4,4,4,4,3,3,4,4,2,4,4,2,3,1,Female,23,Employed,Multiplayer - online - with strangers,Accept,12,12,55
10,42052.22995,2,1,2,2,2,1,0,Somewhat difficult,3,3,3,2,2,PC,25,I play for fun,improving,-,NA,0,1,1,1,1,3,3,0,1,2,2,3,1,0,3,2,0,2,1,Female,27,Employed,Multiplayer - online - with online acquaintances or teammates,Accept,10,13,26
