,S. No.,Timestamp,GAD1,GAD2,GAD3,GAD4,GAD5,GAD6,GAD7,GADE,SWL1,SWL2,SWL3,SWL4,SWL5,Platform,Hours,earnings,whyplay,League,streams,SPIN1,SPIN2,SPIN3,SPIN4,SPIN5,SPIN6,SPIN7,SPIN8,SPIN9,SPIN10,SPIN11,SPIN12,SPIN13,SPIN14,SPIN15,SPIN16,SPIN17,Narcissism,Gender,Age,Work,Playstyle,accept,GAD_T,SWL_T,SPIN_T
5,6,2015-02-17 03:08:55,0,0,0,0,0,1,0,Not difficult at all,3,5,3,3,3,"Console (PS, Xbox, ...)",4,I play for fun,relaxing,-,0,1,1,2,3,2,1,0,0,0,1,0,0,0,1,1,0,0,2,Male,24,Employed,Multiplayer - online - with real life friends,Accept,1,17,13
9,10,2015-02-17 05:31:08,2,1,2,2,2,1,0,Somewhat difficult,3,3,3,2,2,PC,25,I play for fun,improving,-,0,1,1,1,1,3,3,0,1,2,2,3,1,0,3,2,0,2,1,Female,27,Employed,Multiplayer - online - with online acquaintances or teammates,Accept,10,13,26
14,15,2015-02-17 09:30:04,0,0,0,1,0,1,0,Not difficult at all,2,4,3,2,2,PC,30,I play for fun,having fun,na,5,2,1,3,3,1,1,0,4,3,2,3,2,2,2,2,1,1,1,Male,35,Employed,Multiplayer - online - with strangers,Accept,2,13,33
15,16,2015-02-17 10:12:36,3,1,2,1,0,1,0,Somewhat difficult,5,6,6,5,6,PC,14,I play for fun,having fun,-,0,0,3,3,4,2,2,1,3,4,2,1,0,1,2,2,0,0,3,Male,18,Student at college / university,Singleplayer,Accept,8,28,30
17,18,2015-02-17 11:21:31,0,0,0,0,0,0,1,Not difficult at all,5,2,4,6,2,PC,20,I play for fun,"improving, having fun",none,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,Male,30,Employed,all of the above,Accept,1,19,8
21,22,2015-02-17 15:40:22,3,3,3,2,0,1,3,Extremely difficult,1,1,1,2,4,PC,60,I play for fun,improving,Diamond/Master,10,0,2,1,3,4,3,3,4,3,1,3,3,1,1,3,1,1,3,Male,24,Student at college / university,Multiplayer - online - with online acquaintances or teammates,Accept,15,9,37
25,26,2015-02-17 15:59:34,1,0,0,1,0,1,1,Somewhat difficult,1,1,2,2,1,PC,21,I play for fun,having fun,Not Applicable.,0,0,1,3,1,1,1,1,4,2,0,1,0,0,0,3,0,2,5,Male,26,Unemployed / between jobs,Singleplayer,Accept,4,7,20
26,27,2015-02-17 16:05:34,0,0,0,0,0,0,0,Not difficult at all,4,3,3,3,3,PC,20,I play for fun,having fun,none,0,1,1,3,2,3,3,2,2,2,3,3,3,3,3,3,0,2,3,Female,20,Student at college / university,Singleplayer,Accept,0,16,39
27,28,2015-02-17 16:08:23,1,0,1,1,0,1,1,Somewhat difficult,6,6,6,3,5,PC,5,I play for fun,having fun,Bronze,5,2,1,1,2,3,2,2,0,1,1,3,3,1,1,4,3,1,3,Male,36,Employed,Multiplayer - online - with strangers,Accept,5,26,31
28,29,2015-02-17 16:08:26,1,0,2,1,0,0,0,Not difficult at all,5,6,4,4,5,"Console (PS, Xbox, ...)",40,I play for fun,having fun,none,2,1,0,0,1,3,0,0,0,1,0,3,1,0,1,3,0,1,1,Male,19,Student at college / university,Multiplayer - online - with real life friends,Accept,4,24,15
31,32,2015-02-17 16:34:50,3,3,3,3,2,0,1,Extremely difficult,1,1,2,2,2,PC,18,I play for fun,having fun,none,4,2,2,3,3,3,4,2,3,3,2,3,3,2,3,3,2,3,2,Male,20,Student at college / university,Singleplayer,Accept,15,8,46
34,35,2015-02-17 16:51:18,0,0,0,0,0,2,0,Somewhat difficult,5,6,6,6,2,PC,6,I play for fun,winning,Gold,8,0,3,4,4,4,4,4,4,4,4,4,2,4,4,4,3,4,1,Female,22,Unemployed / between jobs,Multiplayer - online - with strangers,Accept,2,25,60
35,36,2015-02-17 16:58:51,0,0,0,0,0,1,0,Not difficult at all,2,4,6,6,3,PC,7,I play for fun,having fun,Gold,4,0,1,3,2,1,1,3,2,1,1,2,2,1,2,3,1,3,2,Male,25,Student at college / university,Multiplayer - online - with strangers,Accept,1,21,29
38,39,2015-02-17 17:29:40,2,1,1,2,0,0,1,Somewhat difficult,2,2,2,2,3,"Console (PS, Xbox, ...)",10,I play for fun,having fun,N/a,0,1,2,2,2,1,3,3,3,4,2,4,2,1,4,3,1,3,1,Female,24,Student at college / university,Singleplayer,Accept,7,11,41
39,40,2015-02-17 18:03:42,0,0,1,2,1,1,0,Somewhat difficult,6,7,6,5,3,PC,20,I play for fun,having fun,none,4,0,0,1,2,0,0,1,1,2,0,0,0,0,1,0,0,0,3,Male,21,Student at college / university,Singleplayer,Accept,5,27,8
40,41,2015-02-17 18:10:05,2,2,2,2,2,2,2,Very difficult,3,6,4,2,2,PC,10,I play for fun,having fun,N/a,0,2,1,2,1,3,1,0,1,1,2,1,3,0,1,3,0,2,2,Female,18,Student at college / university,Singleplayer,Accept,14,17,24
41,42,2015-02-17 18:42:58,1,1,1,0,0,1,0,Somewhat difficult,2,2,4,4,3,PC,10,I play for fun,having fun,-,0,0,1,1,1,0,1,3,1,1,0,0,0,0,0,0,0,0,1,Male,18,Student at school,Multiplayer - online - with strangers,Accept,4,15,9
43,44,2015-02-17 19:46:28,1,1,1,1,0,2,1,Somewhat difficult,3,4,4,2,2,PC,7,I play for fun,having fun,Gold Nova,2,0,1,1,1,2,2,2,1,2,0,1,1,1,0,1,0,1,2,Male,21,Student at college / university,Multiplayer - online - with real life friends,Accept,7,15,17
46,47,2015-02-17 20:05:12,1,1,0,0,1,2,0,Somewhat difficult,6,5,3,3,5,PC,4,I play for fun,improving,none,20,3,3,1,1,2,2,3,1,2,0,1,0,2,3,2,1,3,2,Male,18,Student at school,Singleplayer,Accept,5,22,30
47,48,2015-02-17 20:15:39,2,2,2,1,0,0,0,Somewhat difficult,2,4,4,5,5,PC,20,I play for fun,relaxing,none,0,3,0,3,3,1,1,0,3,3,3,1,0,0,0,0,3,0,1,Female,25,Employed,Singleplayer,Accept,7,20,24
48,50,2015-02-17 20:23:24,2,2,2,2,1,0,2,Very difficult,2,2,1,3,2,PC,25,I play for fun,improving,Unranked - Low ELO,35,0,2,1,2,1,2,2,1,1,1,1,0,0,1,0,0,2,3,Male,18,Student at college / university,Multiplayer - online - with strangers,Accept,11,10,17
